station,distance,elevation
1+800,400,-4.905424595
1+900,0,0.837659
1+900,25,0.737659037
1+900,50,-1.233261347
1+900,75,-1.242325306
1+900,100,-1.853776693
1+900,125,-2.582433462
1+900,150,-3.079608917
1+900,175,-3.609257698
1+900,200,-4.022884369
1+900,225,-4.138851643
1+900,250,-4.241532326
1+900,275,-4.341412067
1+900,300,-4.457143307
1+900,325,-4.481248379
1+900,350,-4.612341404
1+900,375,-4.743434429
1+900,400,-4.874268055
2+000,0,1.210435
2+000,25,1.110434771
2+000,50,-1.049999356
2+000,75,-1.961632252
2+000,100,-2.176655293
2+000,125,-2.246440172
2+000,150,-2.591688633
2+000,175,-3.239101648
2+000,200,-3.889947653
2+000,225,-3.803752422
2+000,250,-3.604013681
2+000,275,-3.436779261
2+000,300,-3.346579552
2+000,325,-3.66946578
2+000,350,-3.98183012
2+000,375,-4.324961662
2+000,400,-4.628039837
2+100,0,0.751205
2+100,25,0.651205003
2+100,50,-1.233798027
2+100,75,-2.121945858
2+100,100,-1.583540201
2+100,125,-2.009920835
2+100,150,-2.407744646
2+100,175,-2.797144651
2+100,200,-2.967094898
2+100,225,-3.05758357
2+100,250,-3.195373058
2+100,275,-3.371332169
2+100,300,-3.595084667
2+100,325,-3.886320829
2+100,350,-4.09978199
2+100,375,-4.310970306
2+100,400,-4.524497032
2+200,0,0.288445
2+200,25,0.188445032
2+200,50,-1.604007125
2+200,75,-1.848543406
2+200,100,-1.807669878
2+200,125,-1.80867672
2+200,150,-2.457597256
2+200,175,-3.144777536
2+200,200,-3.49720335
2+200,225,-3.778724909
2+200,250,-4.03731823
2+200,275,-4.121114731
2+200,300,-4.185773373
2+200,325,-4.277070045
2+200,350,-4.412151814
2+200,375,-4.593913078
2+200,400,-4.765481949
2+300,0,0.43261
2+300,25,0.332610041
2+300,50,-1.71496582
2+300,75,-1.535238147
2+300,100,-1.405858636
2+300,125,-1.853541255
2+300,150,-2.264441252
2+300,175,-2.738790751
2+300,200,-2.831513882
2+300,225,-2.925005436
2+300,250,-3.168134689
2+300,275,-3.465603828
2+300,300,-3.771254539
2+300,325,-4.096192837
2+300,350,-4.338128567
2+300,375,-4.572180748
2+300,400,-4.816802979
2+400,0,-0.093276
2+400,25,-0.193276107
2+400,50,-1.733426929
2+400,75,-1.677796721
2+400,100,-1.720279455
2+400,125,-2.179956436
2+400,150,-2.614583015
2+400,175,-2.799011946
2+400,200,-3.026839495
2+400,225,-3.182060957
2+400,250,-3.417328596
2+400,275,-3.647071123
2+400,300,-3.882092237
2+400,325,-4.111346245
2+400,350,-4.340600014
2+400,375,-4.575621128
2+400,400,-4.804875374
2+500,0,-1.13802
2+500,25,-1.238020301
2+500,50,-1.888103962
2+500,75,-1.601916432
2+500,100,-1.511008382
2+500,125,-2.053899765
2+500,150,-2.61041069
2+500,175,-2.919058561
2+500,200,-3.119701385
2+500,225,-3.292614698
2+500,250,-3.514993191
2+500,275,-3.749736071
2+500,300,-3.980336905
2+500,325,-4.206857204
2+500,350,-4.437458038
2+500,375,-4.668058872
2+500,400,-4.900735855
2+600,0,-1.525999
2+600,25,-1.625998735
2+600,50,-1.605586171
2+600,75,-1.659635663
2+600,100,-1.806958914
2+600,125,-2.261980534
2+600,150,-2.69668889
2+600,175,-2.974858761
2+600,200,-3.127418756
2+600,225,-3.309736967
2+600,250,-3.497200727
2+600,275,-3.671822548
2+600,300,-3.85166049
2+600,325,-4.040552616
2+600,350,-4.22348547
2+600,375,-4.422197819
2+600,400,-4.633227348
2+700,0,-0.506038
2+700,25,-0.606038451
2+700,50,-1.498191476
2+700,75,-1.284383535
2+700,100,-1.340970516
2+700,125,-2.124688864
2+700,150,-2.667264462
2+700,175,-2.906233549
2+700,200,-3.037861347
2+700,225,-3.159478664
2+700,250,-3.356306076
2+700,275,-3.555149317
2+700,300,-3.757951021
2+700,325,-3.949914932
2+700,350,-4.148758411
2+700,375,-4.351560116
2+700,400,-4.543523788
2+800,0,-0.689814
2+800,25,-0.789813578
2+800,50,-1.64522624
2+800,75,-1.767947435
2+800,100,-1.977483869
2+800,125,-2.417414665
2+800,150,-2.701310635
2+800,175,-2.899497271
2+800,200,-3.104506016
2+800,225,-3.307589293
2+800,250,-3.506613493
2+800,275,-3.702943087
2+800,300,-3.901967287
2+800,325,-4.104822636
2+800,350,-4.29631424
2+800,375,-4.491020203
2+800,400,-4.685334682
2+900,0,-0.510764
2+900,25,-0.610763907
2+900,50,-1.367636561
2+900,75,-1.252681017
2+900,100,-1.585156918
2+900,125,-2.11291337
2+900,150,-2.613639116
2+900,175,-2.85434413
2+900,200,-3.154723406
2+900,225,-3.513886929
2+900,250,-3.712063789
2+900,275,-3.91024065
2+900,300,-4.101259708
2+900,325,-4.292291164
2+900,350,-4.487267494
2+900,375,-4.671767712
2+900,400,-4.862799644
3+000,0,0.383658
3+000,25,0.28365761
3+000,50,-0.899582207
3+000,75,-1.415980339
3+000,100,-1.88435483
3+000,125,-2.266466141
3+000,150,-2.687890291
3+000,175,-3.044197321
3+000,200,-3.269304514
3+000,225,-3.555138826
3+000,250,-3.747082472
3+000,275,-3.939091682
3+000,300,-4.131100655
3+000,325,-4.341270447
3+000,350,-4.546537876
3+000,375,-4.704944611
3+000,400,-4.863351822
3+100,0,-1.023803
3+100,25,-1.123803139
3+100,50,-1.403007627
3+100,75,-1.602993011
3+100,100,-1.798403025
3+100,125,-2.249343872
3+100,150,-2.802762508
3+100,175,-3.355788469
3+100,200,-3.145268917
3+100,225,-3.117101908
3+100,250,-3.348083973
3+100,275,-3.579066038
3+100,300,-3.81636548
3+100,325,-4.069094658
3+100,350,-4.321824074
3+100,375,-4.57455349
3+100,400,-4.827282906
3+200,0,-0.331069
3+200,25,-0.431069463
3+200,50,-1.564578295
3+200,75,-1.788602114
3+200,100,-2.061435461
3+200,125,-2.323368311
3+200,150,-2.588015318
3+200,175,-2.852662325
3+200,200,-3.02545619
3+200,225,-3.247654438
3+200,250,-3.469852686
3+200,275,-3.68425107
3+200,300,-3.906819344
3+200,325,-4.129387856
3+200,350,-4.351955891
3+200,375,-4.574805737
3+200,400,-4.798344612
3+300,0,0.135115
3+300,25,0.035114944
3+300,50,-2.786566496
3+300,75,-2.379176855
3+300,100,-1.683473229
3+300,125,-1.876654506
3+300,150,-2.273064613
3+300,175,-2.791249752
3+300,200,-3.051218271
3+300,225,-3.320808172
3+300,250,-3.517857075
3+300,275,-3.719228029
3+300,300,-3.925693989
3+300,325,-4.13401413
3+300,350,-4.342333794
3+300,375,-4.550653934
3+300,400,-4.758974075
3+400,0,0.21369
3+400,25,0.113689736
3+400,50,-1.361830473
3+400,75,-1.862696767
3+400,100,-2.136845589
3+400,125,-2.351429939
3+400,150,-2.574317932
3+400,175,-2.797205925
3+400,200,-3.023444653
3+400,225,-3.23688221
3+400,250,-3.42423296
3+400,275,-3.531763554
3+400,300,-3.65173912
3+400,325,-3.795014858
3+400,350,-3.932952881
3+400,375,-4.09115839
3+400,400,-4.272434711
3+500,0,0.381188
3+500,25,0.281187862
3+500,50,-1.350219727
3+500,75,-1.568539143
3+500,100,-1.852610707
3+500,125,-2.174393415
3+500,150,-2.456287861
3+500,175,-2.733402252
3+500,200,-3.048133612
3+500,225,-3.362755775
3+500,250,-3.523440838
3+500,275,-3.659578323
3+500,300,-3.801004648
3+500,325,-3.949308872
3+500,350,-4.080164909
3+500,375,-4.194969177
3+500,400,-4.682665825
3+600,0,-1.095039
3+600,25,-1.195039272
3+600,50,-1.80552876
3+600,75,-1.977833509
3+600,100,-2.291486502
3+600,125,-2.554289103
3+600,150,-2.817091703
3+600,175,-3.184139967
3+600,200,-3.318881989
3+600,225,-3.454180479
3+600,250,-3.589479208
3+600,275,-3.72761035
3+600,300,-3.858012199
3+600,325,-3.991052866
3+600,350,-4.125761032
3+600,375,-4.257516384
3+600,400,-4.545856476
3+700,0,-1.499913
3+700,25,-1.599912882
3+700,50,-1.799999952
3+700,75,-1.990016222
3+700,100,-2.286401272
3+700,125,-2.582786322
3+700,150,-2.87383604
3+700,175,-3.171630621
3+700,200,-3.406667233
3+700,225,-3.618275642
3+700,250,-3.779348612
3+700,275,-3.916941881
3+700,300,-4.054578304
3+700,325,-4.160273075
3+700,350,-4.297905445
3+700,375,-4.435537815
3+700,400,-4.539813519
3+800,0,-0.407759
3+800,25,-0.507758796
3+800,50,-0.728693485
3+800,75,-1.270714641
3+800,100,-1.71579504
3+800,125,-2.163357496
3+800,150,-2.594285011
3+800,175,-3.041847467
3+800,200,-3.305285931
3+800,225,-3.499150991
3+800,250,-3.68111372
3+800,275,-3.862147093
3+800,300,-4.045307159
3+800,325,-4.227088451
3+800,350,-4.430932522
3+800,375,-4.528930187
3+800,400,-4.649492264
3+900,0,-1.07001
3+900,25,-1.170010328
3+900,50,-1.00762558
3+900,75,-1.309316158
3+900,100,-1.670264125
3+900,125,-2.024594069
3+900,150,-2.385542154
3+900,175,-2.74649024
3+900,200,-3.073055506
3+900,225,-3.363057852
3+900,250,-3.653060198
3+900,275,-3.926863194
